participant,time_sec,time_str,condition,event,data
p01,-83.84,-1:36,normal_condition,new_condition,
p01,0.70,0:01,normal_condition,robot_speech,Hi! Do you need help finding things to do?
p01,7.53,0:08,normal_condition,robot_speech,"Looking for outdoor fun, culture, or a mix of both?"
p01,13.95,0:14,normal_condition,robot_speech,"Want to start your morning with something relaxing, like the Riverwalk Trail?"
p01,20.11,0:20,normal_condition,robot_speech,It follows the river through the old part of town. It's great for photos too.
p01,27.65,0:28,normal_condition,robot_speech,Should I send a walking map to get you started?
p01,34.81,0:35,normal_condition,robot_speech,"Sent! You'll pass a few coffee spots along the way, are you interested in a local café?"
p01,42.72,0:43,normal_condition,robot_speech,"Try Blue Fern Café, it's a small, cozy, locally roasted beans."
p01,50.83,0:51,normal_condition,robot_speech,"After that, up for something more hands-on?"
p01,58.90,0:59,normal_condition,robot_speech,There's a downtown art studio offering a 2 PM workshop on painting or pottery.
p01,66.05,1:06,normal_condition,robot_speech,Want me to check availability for the painting class?
p01,70.85,1:11,normal_condition,robot_speech,Good news! There's a spot open. Should I reserve it?
p01,77.90,1:18,normal_condition,robot_speech,Done. You'll have time for lunch before that. Want a suggestion nearby?
p01,87.22,1:27,normal_condition,robot_speech,Willow Café is a favorite. It's local food and river views.
p01,93.90,1:34,normal_condition,robot_speech,Need help with anything else today?
p01,98.54,1:39,normal_condition,robot_speech,Perfect! Have a good day.
p01,116.91,1:57,rushed_condition,new_condition,
p01,256.79,4:17,rushed_condition,robot_speech,Welcome back! Do you need additional help?
p01,261.91,4:22,rushed_condition,robot_speech,Want to explore the town’s history next?
p01,266.99,4:27,rushed_condition,robot_speech,How about walking the Heritage Trail and visiting the Historical Society Museum?
p01,275.08,4:35,rushed_condition,robot_speech,The trail includes landmarks and markers that tell the town's story.
p01,281.91,4:42,rushed_condition,robot_speech,The museum has weekend exhibits and storytelling sessions. Curious?
p01,289.25,4:49,rushed_condition,robot_speech,Yes! They start around 4 PM and run for a couple of hours.
p01,296.64,4:57,rushed_condition,robot_speech,"Absolutely. General admission is open, no booking needed."
p01,303.52,5:04,rushed_condition,robot_speech,Need help with anything else today?
p01,308.60,5:09,rushed_condition,robot_speech,Great! Enjoy your day!
p01,330.18,5:30,very_rushed_condition,new_condition,
p01,415.74,6:56,very_rushed_condition,robot_speech,"Hi, glad to see you again! Need any assistance?"
p01,433.69,7:14,very_rushed_condition,interruption,
p01,433.81,7:14,very_rushed_condition,robot_speech,We keep all forgotten items in the box at the back of the room. Just have a quick word with my colleague over there and they will be happy to help.
p01,444.56,7:25,very_rushed_condition,robot_speech,Great. It was a pleasure to help you. Have a nice day.
p02,-233.90,-3:06,normal_condition,new_condition,
p02,0.00,0:00,normal_condition,robot_speech,Hi! Do you need help finding things to do?
p02,4.89,0:05,normal_condition,robot_speech,"Looking for outdoor fun, culture, or a mix of both?"
p02,11.20,0:11,normal_condition,robot_speech,"Want to start your morning with something relaxing, like the Riverwalk Trail?"
p02,17.04,0:17,normal_condition,robot_speech,It follows the river through the old part of town. It's great for photos too.
